metric_id,kind,name,description,numerator_description,denominator_description,data_source,definition_source,definition_source_code,definition_rationale,unit,subject_grain,disaggregations,variant_of,owner,status,spec_path
cohort_6m_diabetes_active,metric,6-month cohort — active diabetic patients,Cohort diabetic patients still active at the 6-month evaluation point in the reporting month.,Distinct cohort patients with a diabetes diagnosis still active at month end,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_6m_diabetes_bp_control_percent,metric,6-month cohort diabetes BP control rate,Percentage of active cohort diabetic patients whose 6-month BP is controlled. Emitted only when measurements exist.,Distinct active cohort diabetes patients with controlled BP,Distinct active cohort diabetes patients,tamanu,MSF,,MSF NCD program operational definition,percentage,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_6m_diabetes_bp_measured_percent,metric,6-month cohort diabetes BP measured percent,Percentage of active cohort diabetic patients with a BP measurement in the 6-month window.,Distinct active cohort diabetes patients with a BP measurement,Distinct active cohort diabetes patients,tamanu,MSF,,MSF NCD program operational definition,percentage,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_6m_diabetes_hba1c_control_percent,metric,6-month cohort diabetes HbA1c control rate,Percentage of active cohort diabetic patients whose 6-month HbA1c is controlled. Emitted only when measurements exist.,Distinct active cohort diabetes patients with controlled HbA1c,Distinct active cohort diabetes patients,tamanu,MSF,,MSF NCD program operational definition,percentage,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_6m_diabetes_hba1c_measured_percent,metric,6-month cohort diabetes HbA1c measured percent,Percentage of active cohort diabetic patients with an HbA1c test in the 6-month window.,Distinct active cohort diabetes patients with an HbA1c test,Distinct active cohort diabetes patients,tamanu,MSF,,MSF NCD program operational definition,percentage,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_6m_htn_active,metric,6-month cohort — active hypertensive patients,Cohort hypertensive patients still active at the 6-month evaluation point in the reporting month.,Distinct cohort patients with a hypertension diagnosis still active at month end,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_6m_htn_bp_control_percent,metric,6-month cohort HTN BP control rate,Percentage of active cohort hypertensive patients whose 6-month BP is controlled. Emitted only when measurements exist.,Distinct active cohort HTN patients with controlled BP,Distinct active cohort HTN patients,tamanu,MSF,,MSF NCD program operational definition,percentage,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_6m_htn_bp_measured_percent,metric,6-month cohort HTN BP measured percent,Percentage of active cohort hypertensive patients with a BP measurement in the 6-month window.,Distinct active cohort HTN patients with a BP measurement,Distinct active cohort HTN patients,tamanu,MSF,,MSF NCD program operational definition,percentage,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_6m_patients_active,metric,6-month cohort — active patients,Cohort patients (active 9 months prior) still active at the 6-month evaluation point in the reporting month.,Distinct cohort patients active at month end,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_6m_retention_percent,metric,6-month cohort retention rate,Percentage of cohort patients still active at the 6-month evaluation point.,Distinct cohort patients still active,Distinct cohort patients in the cohort,tamanu,MSF,,MSF NCD program operational definition,percentage,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
cohort_ncd_6m,cohort,6-month NCD cohort,NCD-registry patients whose registration first became ncdactive 9 months before the reporting month and who were still in the program at the 6-month evaluation point.,,,tamanu,MSF,,MSF NCD program 6-month evaluation cohort,,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/der__cohort_ncd_6m.md
cohort_ncd_registry,cohort,NCD program registry cohort,NCD-registry patients (all clinical statuses except waitlist) with conditions pivoted to columns and the latest exit-survey info.,,,tamanu,MSF,,MSF NCD program registry definition,,patient,"sex,facility_id",,bes-maui,draft,specs/dbt-model/der__cohort_ncd_registry.md
consultations_followup,metric,Follow-up NCD consultations,Patients with a second or later consultation in the NCD program during the reporting month.,Patients with at least one prior NCD consultation who attend another consultation in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
