stringId,default
encounter.property.type.admission,Hospital admission
encounter.property.type.clinic,Clinic
encounter.property.type.emergency,Emergency short stay
encounter.property.type.imaging,Imaging
encounter.property.type.observation,Active ED care
encounter.property.type.surveyResponse,Form response
encounter.property.type.triage,Triage
encounter.property.type.vaccination,Vaccination record
report.reporting.admissionDate,Admission date
report.reporting.admissionDateTime,Admission date and time
report.reporting.admissionStatus,Admission status
report.reporting.admittingClinician,Admitting clinician
report.reporting.appointmentClinician,Clinician
report.reporting.appointmentCreatedBy,Appointment created by
report.reporting.appointmentDateTime,Appointment date and time
report.reporting.appointmentEndDateTime,Appointment end date and time
report.reporting.appointmentIsCancelled,Appointment cancelled
report.reporting.appointmentIsRepeating,Repeating appointment
report.reporting.appointmentLocationGroup,Area
report.reporting.appointmentPriority,Priority appointment
report.reporting.appointmentRepeatingEndDate,Repeating appointment end date
report.reporting.appointmentStatus,Appointment status
report.reporting.appointmentType,Appointment type
report.reporting.auditChangeNumber,Change number
report.reporting.auditCreatedBy,Appointment created by
report.reporting.auditModifiedBy,Appointment modified by
report.reporting.auditModifiedDateTime,Appointment modified date & time
report.reporting.auditPrevAppointmentDateTime,Previous appointment date & time
report.reporting.auditPrevAppointmentType,Previous appointment type
report.reporting.auditPrevClinician,Previous clinician
report.reporting.auditPrevLocationGroup,Previous area
report.reporting.auditPrevPriority,Previous priority appointment
report.reporting.birthApgarScoreFiveMinutes,Apgar score at 5 min
report.reporting.birthApgarScoreOneMinute,Apgar score at 1 min
report.reporting.birthApgarScoreTenMinutes,Apgar score at 10 min
report.reporting.birthAttendant,Name of attendant
report.reporting.birthAttendantType,Attendant at birth
report.reporting.birthDeliveryType,Delivery type
report.reporting.birthFacility,Name of health facility (if selected)
report.reporting.birthGestationalAgeEstimate,Gestational age (weeks)
report.reporting.birthLength,Birth length (cm)
report.reporting.birthRegisteredBy,Registered by
report.reporting.birthRegisteredDateTime,Registration date
report.reporting.birthTimeOfBirth,Time of birth
report.reporting.birthType,Single/Plural birth
report.reporting.birthWeight,Birth weight (kg)
report.reporting.bookingClinician,Clinician
report.reporting.bookingDuration,Booking duration
report.reporting.bookingEndDateTime,Booking end date and time
report.reporting.bookingLocation,Location
report.reporting.bookingLocationGroup,Area
report.reporting.bookingStartDateTime,Booking start date and time
report.reporting.bookingStatus,Booking status
report.reporting.bookingType,Booking type
report.reporting.conditionOngoing,Ongoing condition
report.reporting.conditionRecordedBy,Clinician
report.reporting.conditionRecordedDate,Date recorded
report.reporting.conditionResolvedBy,Clinician confirming resolution
