stringId,default
report.reporting.admissionDate,Admission date
report.reporting.admissionDateTime,Admission date and time
report.reporting.admissionStatus,Admission status
report.reporting.admittingClinician,Admitting clinician
report.reporting.appointmentClinician,Clinician
report.reporting.appointmentDateTime,Appointment date and time
report.reporting.appointmentEndDateTime,Appointment end date and time
report.reporting.appointmentIsRepeating,Repeating appointment
report.reporting.appointmentLocationGroup,Area
report.reporting.appointmentPriority,Priority appointment
report.reporting.appointmentRepeatingEndDate,Repeating appointment end date
report.reporting.appointmentStatus,Appointment status
report.reporting.appointmentType,Appointment type
report.reporting.birthApgarScoreFiveMinutes,Apgar score at 5 min
report.reporting.birthApgarScoreOneMinute,Apgar score at 1 min
report.reporting.birthApgarScoreTenMinutes,Apgar score at 10 min
report.reporting.birthAttendant,Name of attendant
report.reporting.birthAttendantType,Attendant at birth
report.reporting.birthDeliveryType,Delivery type
report.reporting.birthFacility,Name of health facility (if selected)
report.reporting.birthGestationalAgeEstimate,Gestational age (weeks)
report.reporting.birthLength,Birth length (cm)
report.reporting.birthRegisteredBy,Registered by
report.reporting.birthRegisteredDateTime,Registration date
report.reporting.birthTimeOfBirth,Time of birth
report.reporting.birthType,Single/Plural birth
report.reporting.birthWeight,Birth weight (kg)
report.reporting.bookingClinician,Clinician
report.reporting.bookingDuration,Booking duration
report.reporting.bookingEndDateTime,Booking end date and time
report.reporting.bookingLocation,Location
report.reporting.bookingLocationGroup,Area
report.reporting.bookingStartDateTime,Booking start date and time
report.reporting.bookingStatus,Booking status
report.reporting.bookingType,Booking type
report.reporting.conditionOngoing,Ongoing condition
report.reporting.conditionRecordedBy,Clinician
report.reporting.conditionRecordedDate,Date recorded
report.reporting.conditionResolvedBy,Clinician confirming resolution
report.reporting.conditionResolvedDate,Date resolved
report.reporting.deathAgeOfMother,Age of mother
report.reporting.deathAntecedentCause1,Antecedent cause 1
report.reporting.deathAntecedentCause2,Antecedent cause 2
report.reporting.deathAttendingClinician,Attending clinician
report.reporting.deathCompletedWeeksOfPregnancy,Completed weeks of pregnancy
report.reporting.deathConditionInMother,Condition in mother affecting fetus or newborn
report.reporting.deathExternalCauseDate,External cause date
report.reporting.deathExternalCauseLocation,External cause location
report.reporting.deathHadRecentSurgery,Had recent surgery
report.reporting.deathHoursSurvivedSinceBirth,Hours survived since birth
report.reporting.deathLastSurgeryDate,Last surgery date
report.reporting.deathMannerOfDeath,Manner of death
report.reporting.deathOtherCondition1,Other condition 1
report.reporting.deathOtherCondition2,Other condition 2
report.reporting.deathOtherCondition3,Other condition 3
report.reporting.deathOtherCondition4,Other condition 4
report.reporting.deathPlaceOfDeath,Place of death
report.reporting.deathPregnancyContributed,Pregnancy contributed
report.reporting.deathPrimaryCause,Primary cause of death
report.reporting.deathReasonForSurgery,Reason for surgery
report.reporting.deathTimeBetweenOnsetAndDeath,Time between onset and death
report.reporting.deathWasFetalOrInfant,Was fetal or infant
report.reporting.deathWasPregnant,Was pregnant
report.reporting.deathWasStillborn,Was stillborn
report.reporting.deathWithinDayOfBirth,Death within day of birth
report.reporting.department,Department
report.reporting.departments,Departments
report.reporting.diagnoses,Diagnoses
report.reporting.diagnosesPrimary,Primary diagnoses
report.reporting.diagnosesSecondary,Secondary diagnoses
report.reporting.diagnosis,Diagnosis
report.reporting.diagnosisCertainty,Certainty
report.reporting.diagnosisDateTime,Date & time
report.reporting.diagnosisIsPrimary,Is primary
report.reporting.dischargeDate,Discharged date
report.reporting.dischargeDateTime,Discharge date and time
report.reporting.dischargeDepartment,Discharging department
report.reporting.dischargeDisposition,Discharge disposition
report.reporting.dischargeLocation,Discharging location
report.reporting.dischargeLocationGroup,Discharging area
report.reporting.encounterClinician,Clinician
report.reporting.encounterDepartmentHistory,Department history
report.reporting.encounterDepartmentHistoryDateTimes,Department history date and times
report.reporting.encounterDiet,Diet
report.reporting.encounterEndDateTime,Encounter end date and time
report.reporting.encounterIsDischarged,Discharges (has the patient been discharged)
report.reporting.encounterIsHospitalAdmission,Hospital admission
report.reporting.encounterLengthOfStay,Length of stay (days)
report.reporting.encounterLocationGroupHistory,Area history
report.reporting.encounterLocationGroupHistoryDateTimes,Area history date and times
report.reporting.encounterLocationHistory,Location history
report.reporting.encounterLocationHistoryDateTimes,Location history date and times
report.reporting.encounterNonDischargeClinician,Non-discharge by clinicians
report.reporting.encounterReasonForEncounter,Reason for encounter
report.reporting.encounterStartDate,Encounter start date
