metric_id,kind,name,description,numerator_description,denominator_description,data_source,definition_source,definition_source_code,definition_rationale,tupaia_code,unit,subject_grain,disaggregations,variant_of,owner,status,spec_path
cohort_6m_diabetes_active,metric,6-month cohort — active diabetic patients,Cohort diabetic patients still active at the 6-month evaluation point in the reporting month.,Distinct cohort patients with has_diabetes_diagnosis = 1 still active,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
cohort_6m_diabetes_bp_control_percent,metric,6-month cohort diabetes BP control rate,Percentage of active cohort diabetic patients whose 6-month BP is controlled. Emitted only when measurements exist.,Distinct active cohort diabetes patients with controlled BP,Distinct active cohort diabetes patients,tamanu,MSF,,,,percentage,patient,"age_group,sex,facility_id",,bes-maui,approved,
cohort_6m_diabetes_bp_measured_percent,metric,6-month cohort diabetes BP measured percent,Percentage of active cohort diabetic patients with a BP measurement in the 6-month window.,Distinct active cohort diabetes patients with a BP measurement,Distinct active cohort diabetes patients,tamanu,MSF,,,,percentage,patient,"age_group,sex,facility_id",,bes-maui,approved,
cohort_6m_diabetes_hba1c_control_percent,metric,6-month cohort diabetes HbA1c control rate,Percentage of active cohort diabetic patients whose 6-month HbA1c is controlled. Emitted only when measurements exist.,Distinct active cohort diabetes patients with controlled HbA1c,Distinct active cohort diabetes patients,tamanu,MSF,,,,percentage,patient,"age_group,sex,facility_id",,bes-maui,approved,
cohort_6m_diabetes_hba1c_measured_percent,metric,6-month cohort diabetes HbA1c measured percent,Percentage of active cohort diabetic patients with an HbA1c test in the 6-month window.,Distinct active cohort diabetes patients with an HbA1c test,Distinct active cohort diabetes patients,tamanu,MSF,,,,percentage,patient,"age_group,sex,facility_id",,bes-maui,approved,
cohort_6m_htn_active,metric,6-month cohort — active hypertensive patients,Cohort hypertensive patients still active at the 6-month evaluation point in the reporting month.,Distinct cohort patients with has_htn_diagnosis = 1 still active,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
cohort_6m_htn_bp_control_percent,metric,6-month cohort HTN BP control rate,Percentage of active cohort hypertensive patients whose 6-month BP is controlled. Emitted only when measurements exist.,Distinct active cohort HTN patients with controlled BP,Distinct active cohort HTN patients,tamanu,MSF,,,,percentage,patient,"age_group,sex,facility_id",,bes-maui,approved,
cohort_6m_htn_bp_measured_percent,metric,6-month cohort HTN BP measured percent,Percentage of active cohort hypertensive patients with a BP measurement in the 6-month window.,Distinct active cohort HTN patients with a BP measurement,Distinct active cohort HTN patients,tamanu,MSF,,,,percentage,patient,"age_group,sex,facility_id",,bes-maui,approved,
cohort_6m_patients_active,metric,6-month cohort — active patients,Cohort patients (active 9 months prior) still active at the 6-month evaluation point in the reporting month.,Distinct cohort patients active at month end,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
cohort_6m_retention_percent,metric,6-month cohort retention rate,Percentage of cohort patients still active at the 6-month evaluation point.,Distinct cohort patients still active,Distinct cohort patients in the cohort,tamanu,MSF,,,,percentage,patient,"age_group,sex,facility_id",,bes-maui,approved,
